Date,Time,Rain_value
2020-06-01,22:31,0.2
2020-06-01,15:32,0.2
2020-06-01,13:43,0.2
2020-06-01,12:20,0.2
2020-06-01,11:19,0.2
2020-06-01,10:28,0.2
2020-06-01,9:45,0.2
2020-06-01,9:11,0.2
2020-06-01,8:52,0.2
2020-06-01,8:37,0.2
2020-06-01,8:24,0.2
2020-06-01,8:13,0.2
2020-06-01,8:02,0.2
2020-06-01,7:52,0.2
2020-06-01,7:43,0.2
2020-06-01,7:35,0.2
2020-06-01,7:27,0.2
2020-06-01,7:19,0.2
2020-06-01,7:12,0.2
2020-06-01,7:05,0.2
2020-06-01,2:39,0.2
2020-06-01,2:16,0.2
2020-06-01,1:59,0.2
2020-06-01,1:45,0.2
2020-05-31,19:59,0.2
2020-05-31,19:39,0.2
2020-05-31,19:17,0.2
2020-05-31,18:57,0.2
2020-05-31,18:34,0.2
2020-05-31,18:14,0.2
2020-05-31,17:56,0.2
2020-05-31,17:40,0.2
2020-05-31,17:27,0.2
2020-05-31,17:15,0.2
2020-05-31,17:05,0.2
2020-05-31,16:57,0.2
2020-05-31,16:51,0.2
2020-05-31,16:47,0.2
2020-05-31,16:46,0.2
2020-05-31,16:45,0.8
2020-05-31,16:44,0.8
2020-05-31,16:43,1
2020-05-31,16:42,1
2020-05-31,16:41,1
2020-05-31,16:40,1.6
2020-05-31,16:39,0.2
2020-05-31,16:29,0.2
2020-05-31,16:12,0.2
2020-05-31,16:05,0.2
2020-05-31,16:02,0.2
2020-05-31,15:51,0.2
2020-05-31,15:40,0.2
2020-05-31,15:32,0.2
2020-05-31,15:15,0.2
2020-05-31,14:47,0.2
2020-05-31,14:46,0.2
2020-05-31,14:43,0.2
2020-05-31,14:27,0.2
2020-05-31,14:23,0.2
2020-05-31,14:22,0.2
2020-05-31,14:17,0.2
2020-05-31,14:10,0.2
2020-05-31,14:03,0.2
2020-05-31,13:57,0.2
2020-05-31,13:44,0.2
2020-05-31,13:40,0.2
2020-05-31,13:36,0.2
2020-05-31,13:35,0.4
2020-05-31,13:34,0.6
2020-05-31,13:33,0.6
2020-05-31,13:32,0.8
2020-05-31,13:31,0.6
2020-05-31,13:30,0.4
2020-05-31,13:29,0.4
2020-05-31,13:28,0.4
2020-05-31,13:27,0.6
2020-05-31,13:26,0.6
2020-05-31,13:25,0.6
2020-05-31,13:24,0.4
2020-05-31,13:23,0.8
2020-05-31,13:22,0.6
2020-05-31,13:21,0.6
2020-05-31,13:20,0.6
2020-05-31,13:19,0.2
2020-05-31,13:18,0.6
2020-05-31,13:17,0.6
2020-05-31,13:16,0.6
2020-05-31,13:15,0.8
2020-05-31,13:14,0.6
2020-05-31,13:13,0.6
2020-05-31,13:12,0.8
2020-05-31,13:11,0.6
2020-05-31,13:10,0.8
2020-05-31,13:09,0.6
2020-05-31,13:08,0.8
2020-05-31,13:07,0.8
2020-05-31,13:06,1
2020-05-31,13:05,0.4
2020-05-31,13:04,0.2
2020-05-31,13:03,0.2
2020-05-31,13:02,0.4
2020-05-31,13:01,0.2
2020-05-31,12:59,0.4
2020-05-31,12:58,0.2
2020-05-31,12:57,0.4
2020-05-31,12:56,0.2
2020-05-31,12:54,0.2
2020-05-31,12:52,0.2
2020-05-31,12:51,0.4
2020-05-31,12:50,0.6
2020-05-31,12:49,0.2
2020-05-31,12:48,0.8
2020-05-31,12:47,1.2
2020-05-31,12:46,1.2
2020-05-31,12:45,1
2020-05-31,12:44,1
2020-05-31,12:43,1
2020-05-31,12:42,0.8
2020-05-31,12:41,0.6
2020-05-31,12:40,0.4
2020-05-31,12:39,0.4
2020-05-31,12:38,0.2
2020-05-31,12:37,0.2
2020-05-31,12:36,1
2020-05-31,12:35,1.2
2020-05-31,12:34,1.4
2020-05-31,12:33,1.2
2020-05-31,12:32,1.4
2020-05-31,12:31,0.8
2020-05-31,12:30,0.8
2020-05-31,12:29,0.2
2020-05-31,12:28,0.4
2020-05-31,12:27,0.6
2020-05-31,12:26,0.6
2020-05-31,12:25,1.6
2020-05-31,12:24,1.6
2020-05-31,12:23,1
2020-05-31,12:22,0.8
2020-05-31,12:21,1.8
2020-05-31,12:20,1.4
2020-05-31,12:19,1.2
2020-05-31,12:18,0.6
2020-05-31,12:17,0.2
2020-05-31,12:16,0.2
2020-05-31,12:15,0.8
2020-05-31,12:14,0.8
2020-05-31,12:13,0.4
2020-05-31,12:12,0.4
2020-05-31,12:10,0.2
2020-05-31,12:07,0.2
2020-05-31,12:03,0.2
2020-05-31,12:02,0.2
2020-05-31,12:01,0.2
2020-05-31,11:59,1
2020-05-31,11:58,1
2020-05-31,11:57,0.4
2020-05-31,11:56,0.2
2020-05-31,11:53,0.2
2020-05-31,11:50,0.2
2020-05-31,11:49,0.4
2020-05-31,11:48,0.8
2020-05-31,11:47,0.6
2020-05-31,11:46,0.2
2020-05-31,11:45,0.2
2020-05-31,11:44,0.2
2020-05-31,11:43,0.6
2020-05-31,11:42,1
2020-05-31,11:41,1.2
2020-05-31,11:40,0.2
2020-05-31,11:37,0.2
2020-05-31,11:33,0.2
2020-05-31,11:32,0.2
2020-05-31,11:31,0.2
2020-05-31,11:30,0.2
2020-05-31,11:29,0.6
2020-05-31,11:28,0.2
2020-05-31,10:53,0.2
2020-05-31,10:29,0.2
2020-05-31,10:25,0.2
2020-05-31,10:24,0.6
2020-05-31,10:22,0.2
